return probability of panel,panel member 1,panel member 2,panel member 3,panel member 4,panel member 5,panel member 6,panel member 7,panel member 8,panel member 9,panel member 10,panel member 11,panel member 12,panel member 13,panel member 14,panel member 15,panel member 16,panel member 17,panel member 18,panel member 19,panel member 20,panel member 21,panel member 22,panel member 23,panel member 24,panel member 25,panel member 26,panel member 27,panel member 28,panel member 29,panel member 30
0.0007864004619495485,8,12,49,63,83,158,164,169,179,208,277,357,358,370,376,379,474,590,594,653,659,671,740,761,854,855,869,880,943,992
0.0008510670668995631,33,100,110,117,119,132,168,186,223,236,349,424,426,530,627,643,689,694,713,742,775,791,795,798,832,840,913,918,939,980
0.0005535428095039478,43,76,103,190,219,351,404,407,456,466,470,488,514,515,524,565,566,568,615,624,659,684,720,742,782,785,823,847,853,883
0.0010442775839825955,5,9,94,98,153,190,219,264,300,398,404,511,514,515,524,565,568,575,598,621,631,657,703,720,730,739,786,883,914,970
0.007867246135148658,34,63,184,190,300,332,358,381,398,424,434,515,524,553,565,568,598,615,621,622,684,698,742,751,869,880,913,958,963,980
0.002332281774871006,13,34,129,170,213,324,337,340,406,447,496,516,643,701,717,725,727,732,795,798,802,828,842,859,873,913,953,958,963,974
0.0002893203154802194,13,34,129,146,158,213,357,370,376,379,406,436,447,467,496,516,521,542,671,701,717,725,727,732,749,802,828,913,943,953
0.004093801620399259,19,34,39,43,54,144,168,203,224,241,248,254,264,267,342,395,409,415,530,535,674,697,703,786,814,823,883,918,919,925
2.347390826704498e-06,9,34,103,170,184,210,219,291,324,332,347,357,401,403,404,434,537,553,559,566,632,665,720,806,853,913,933,953,974,994
0.0010287260715666374,103,158,169,179,278,298,347,356,357,370,376,379,381,407,431,446,451,566,671,698,760,837,847,853,883,895,933,943,978,984
0.0015923428563951161,1,9,34,63,177,199,203,248,264,300,358,398,409,436,467,511,521,585,703,750,752,762,786,869,880,894,913,919,925,994
0.0031034973635076296,34,100,186,199,213,351,393,407,447,516,532,562,564,566,585,590,653,724,725,732,744,749,755,829,847,853,877,948,949,984
0.005354877747636049,54,179,196,278,298,342,356,357,370,376,431,451,460,535,540,576,632,659,661,663,665,671,708,760,837,883,933,943,978,984
0.005330390930404359,34,90,132,202,210,234,235,275,280,300,347,358,398,401,403,410,440,470,488,514,532,537,626,627,689,730,863,913,928,939
0.0019006141630287523,9,76,87,92,158,264,277,376,379,395,404,438,466,511,555,659,661,674,675,690,720,782,785,859,861,873,883,914,967,970
